========== THREADING <Thread(Thread-11 (getAllPesertaKelas), stopped 139888921912896)> COMPLETE ==========
Time taken : 1305.56 seconds
Scrapping Student Course 12 kode TGL304
Scrapping Student Course 11 kode PTS112
Scrapping Student Course 12 kode TIU302
Scrapping Student Course 12 kode TEK304
Scrapping Student Course 11 kode TLE220
Scrapping Student Course 11 kode TIK307
Scrapping Student Course 13 kode TGU202
Scrapping Student Course 13 kode TMS212
Scrapping Student Course 18 kode TAR116
Scrapping Student Course 13 kode TPW325
Scrapping Student Course 12 kode TPB316
Scrapping Student Course 12 kode PTS112
Scrapping Student Course 11 kode TGL306
Scrapping Student Course 13 kode TIU302
Scrapping Student Course 12 kode TLE220
Scrapping Student Course 11 kode TIK311
Scrapping Student Course 13 kode TEK304
Scrapping Student Course 11 kode TGU302
Scrapping Student Course 13 kode PTS112
Scrapping Student Course 19 kode TAR116
Scrapping Student Course 13 kode TPB316
Scrapping Student Course 14 kode TPW325
Scrapping Student Course 12 kode TGL306
Scrapping Student Course 11 kode TIK502
Scrapping Student Course 13 kode TLE220
Scrapping Student Course 14 kode TMS212
Scrapping Student Course 12 kode TIK502
Scrapping Student Course 11 kode TIK504
Scrapping Student Course 11 kode TEK306
Scrapping Student Course 11 kode TIU304
Scrapping Student Course 12 kode TGU302
Scrapping Student Course 11 kode TPB318
Scrapping Student Course 11 kode TGL308
Scrapping Student Course 14 kode PTS112
Scrapping Student Course 20 kode TAR116
Scrapping Student Course 15 kode TPW325
Scrapping Student Course 13 kode TGU302
Scrapping Student Course 12 kode TIK504
Scrapping Student Course 11 kode TMS214
Scrapping Student Course 11 kode TLE222
Scrapping Student Course 12 kode TIU304
Scrapping Student Course 12 kode TEK306
Scrapping Student Course 16 kode PTS112
Scrapping Student Course 21 kode TAR116
Scrapping Student Course 16 kode TPW325
Scrapping Student Course 12 kode TGL308
Scrapping Student Course 11 kode TPB415
Scrapping Student Course 11 kode TGU304
Scrapping Student Course 12 kode TMS214
Scrapping Student Course 12 kode TLE222
Scrapping Student Course 11 kode TIK506
Scrapping Student Course 13 kode TEK306
Scrapping Student Course 13 kode TIU304
Scrapping Student Course 12 kode TIK506
Scrapping Student Course 11 kode TPWP01
Scrapping Student Course 11 kode TPB510
Scrapping Student Course 22 kode TAR116
Scrapping Student Course 11 kode PTS114
Scrapping Student Course 13 kode TMS214
Scrapping Student Course 11 kode TGL310
Scrapping Student Course 11 kode TIK508
Scrapping Student Course 11 kode TIU306
Scrapping Student Course 11 kode TEK308
Scrapping Student Course 11 kode TGU401
Scrapping Student Course 13 kode TLE222
Scrapping Student Course 11 kode TPWP02
Scrapping Student Course 14 kode TMS214
Scrapping Student Course 12 kode PTS114
Scrapping Student Course 11 kode TPB512
Scrapping Student Course 23 kode TAR116
Scrapping Student Course 11 kode TIK512
Scrapping Student Course 12 kode TGL310
Scrapping Student Course 12 kode TIU306
Scrapping Student Course 11 kode TGU504
Scrapping Student Course 11 kode TLE301
Scrapping Student Course 12 kode TEK308
Scrapping Student Course 12 kode TIK512
Scrapping Student Course 11 kode TPWP03
Scrapping Student Course 11 kode TGL312
Scrapping Student Course 11 kode TMS302
Scrapping Student Course 13 kode PTS114
Scrapping Student Course 24 kode TAR116
Scrapping Student Course 11 kode TPB514
Scrapping Student Course 13 kode TEK308
Scrapping Student Course 12 kode TLE301
Scrapping Student Course 11 kode TGU506
Scrapping Student Course 13 kode TIU306
Scrapping Student Course 11 kode TIK514
Scrapping Student Course 11 kode TGU508
Scrapping Student Course 25 kode TAR116
Scrapping Student Course 14 kode PTS114
Scrapping Student Course 12 kode TMS302
Scrapping Student Course 11 kode TPWP04
Scrapping Student Course 11 kode TPB516
Scrapping Student Course 11 kode TEK310
Scrapping Student Course 11 kode TGU510
Scrapping Student Course 12 kode TGL312
Scrapping Student Course 11 kode TIU308
Scrapping Student Course 11 kode TIK516
Scrapping Student Course 11 kode TLE302
